hora_autorizacao,carrier_vtex,categoria produto,region,distancia,uf,dia da semana,cd_origem,City,categoria_distancia,dias_entrega2,prediction_label,prediction_dias_entrega,diff_day_auth_to_estimated2,baseline_otif,gap_baseline,OTIF_Previsto,gap_predict,dias_transportadora,prediction_dias_transportadora,gap_predict_transportadora
8.0,Favorita,maquina,Norte,2.2732351e+16,PA,1.0,saocarlos,belem,muitodistante,8,10.334751239278884,10.0,16,1,8,1,2.0,8.0,10.0,2.0
9.0,Favorita,maquina,Norte,1377126500000000.0,TO,1.0,saocarlos,miranorte,longadistancia,8,9.430839306254052,9.0,20,1,12,1,1.0,8.0,9.0,1.0
12.0,Favorita,maquina,Norte,2.4633139e+16,AM,1.0,saocarlos,manaus,muitodistante,21,20.522790758790407,21.0,28,1,7,1,0.0,21.0,21.0,0.0
13.0,Favorita,maquina,Norte,2.2732351e+16,PA,1.0,saocarlos,belem,muitodistante,7,10.230630491432041,10.0,16,1,9,1,3.0,7.0,10.0,3.0
19.0,Favorita,maquina,Norte,1372102900000000.0,TO,1.0,saocarlos,miracemadotocantins,longadistancia,16,10.589097980906992,11.0,20,1,4,0,-5.0,16.0,12.0,-4.0
0.0,Favorita,maquina,Norte,1.6351456e+16,TO,2.0,saocarlos,araguaina,muitodistante,14,11.031953608810971,11.0,20,1,6,0,-3.0,15.0,11.0,-4.0
5.0,Favorita,maquina,Norte,6560398000000000.0,TO,2.0,saocarlos,palmas,longadistancia,7,8.361632480633979,8.0,14,1,7,1,1.0,8.0,8.0,0.0
17.0,Bertolini,cooktop,Norte,3078409000000000.0,RR,1.0,saocarlos,boavista,muitodistante,21,21.073471579756603,21.0,27,1,6,1,0.0,21.0,21.0,0.0
10.0,Favorita,maquina,Norte,1.2459016e+16,TO,2.0,saocarlos,portonacional,longadistancia,8,9.191602865945388,9.0,20,1,12,1,1.0,8.0,9.0,1.0
11.0,Favorita,forno,Norte,2.4619882e+16,AP,2.0,saocarlos,macapa,muitodistante,19,17.524880196313838,18.0,26,1,7,0,-1.0,19.0,18.0,-1.0
11.0,Favorita,maquina,Norte,1.150868e+16,TO,2.0,saocarlos,almas,longadistancia,5,9.305982643990014,9.0,21,1,16,1,4.0,5.0,9.0,4.0
13.0,Favorita,maquina,Norte,1.3055774e+16,AC,2.0,saocarlos,riobranco,longadistancia,16,13.883087627132216,14.0,22,1,6,0,-2.0,16.0,13.0,-3.0
6.0,Favorita,maquina,Norte,1483931600000000.0,TO,1.0,saocarlos,itaporadotocantins,longadistancia,8,10.201178100910445,10.0,26,1,18,1,2.0,7.0,10.0,3.0
17.0,Favorita,maquina,Norte,228308500000000.0,PA,2.0,saocarlos,ananindeua,muitodistante,6,9.44695142854025,9.0,18,1,12,1,3.0,6.0,10.0,4.0
18.0,Favorita,maquina,Norte,2.2732351e+16,PA,2.0,saocarlos,belem,muitodistante,6,9.914362124841201,10.0,18,1,12,1,4.0,6.0,10.0,4.0
18.0,Favorita,maquina,Norte,1137563300000000.0,TO,2.0,saocarlos,gurupi,longadistancia,4,7.684122904193693,8.0,15,1,11,1,4.0,4.0,8.0,4.0
19.0,Favorita,maquina,Norte,2.2732351e+16,PA,2.0,saocarlos,belem,muitodistante,8,9.830568416826827,10.0,18,1,10,1,2.0,8.0,10.0,2.0
8.0,Bertolini,maquina,Norte,2635468400000000.0,AC,2.0,saocarlos,senamadureira,muitodistante,19,15.577548326907188,16.0,26,1,7,0,-3.0,19.0,16.0,-3.0
7.0,Favorita,maquina,Norte,2.2732351e+16,PA,3.0,saocarlos,belem,muitodistante,14,11.113967059596854,11.0,18,1,4,0,-3.0,14.0,11.0,-3.0
